.abdn.,.aber.,.abertay-dundee.,.anglia.,.aston.,.bangor.,.bath.,.bbk.,.bham.,.bournemouth.,.brad.,.bris.,.brunel.,.bton.,.cam.,.cf.,.courtauld.,.coventry.,.cranfield.,.derby.,.dmu.,.dundee.,.dur.,.ed.,.essex.,.ex.,.gcal.,.glam.,.glasgow.,.goldsmiths.,.gre.,.herts.,.heythrop.,.hud.,.hw.,.kcl.,.keele.,.kingston.,.lamp.,.lancs.,.lboro.,.lbs.,.le.,.leeds.,.livjm.,.lmu.,.lse.,.lshtm.,.luton.,.man.,.mbs.,.mcc.,.mdx.,.mmu.,.napier.,.ncl.,.newport.,.nott.,.ntu.,.ox.,.paisley.,.plymouth.,.port.,.qmw.,.qub.,.rcm.,.rdg.,.rgu.,.salford.,.sas.,.shef.,.soas.,.soton.,.ssees.,.st-and.,.staffs.,.stir.,.strath.,.sunderland.,.surrey.,.susx.,.swan.,.tees.,.tvu.,.uce.,.ucl.,.uclan.,.uea.,.uel.,.ukc.,.ulh.,.ulst.,.umds.,.umist.,.unl.,.unn.,.uwcm.,.uwe.,.uwic.,.warwick.,.wlv.,.wmin.,.york.
14,31,0,23,6,7,16,6,119,5,13,68,24,3,113,108,1,3,5,24,26,13,22,3477,24,2437,5,6,0,6,95,7,0,18,220,7,21,6,3,21,22,1,2110,90,21,14,133,1,7,415,11,25,8,67,3,41,2,294,32,130,2,5,225,7,5,2,16,18,10,36,59,4,48,0,11,5,9,11,11,25,7,15,9,2,11,74,4,30,8,32,1,14,4,9,34,18,9,54,1,32,21,6,73
15,20,0,17,7,7,28,19,61,2,24,62,56,6,399,91,0,4,2,2,10,11,42,3919,20,2691,4,1,0,1,140,2,0,2,89,21,11,0,5,27,3,3,2951,72,4,3,93,4,3,499,14,22,5,441,4,55,0,26,35,533,1,2,890,15,19,1,17,8,3,61,58,8,49,1,10,9,10,4,3,19,3,26,3,1,10,121,3,31,15,38,0,7,3,8,51,22,9,19,0,42,24,4,95
21,5,0,2,16,3,9,2,41,1,8,6,5,8,30,11,0,2,8,10,5,4,10,409,10,260,14,1,4,1,9,8,1,2,42,4,10,4,1,10,1,0,233,27,1,2,20,1,1,51,2,4,2,8,5,20,0,39,9,31,1,0,25,2,14,0,9,4,3,3,19,0,6,0,7,3,13,28,2,7,8,1,1,1,3,6,1,6,11,4,0,1,2,2,2,4,0,1,0,10,18,3,13
6,22,0,4,0,0,14,4,4,3,10,18,8,3,30,26,0,4,7,5,1,1,8,584,15,682,0,0,0,0,34,4,0,1,62,6,1,0,1,10,1,2,337,15,2,0,16,1,1,49,3,4,1,11,4,11,0,11,17,42,0,77,32,3,7,0,3,2,3,7,20,0,45,0,1,1,1,13,1,11,3,2,0,0,4,21,1,5,2,13,0,3,0,1,5,4,0,7,0,12,7,2,11
10,19,1,7,9,13,45,3,79,14,50,82,28,24,120,83,0,5,18,10,10,16,34,0,20,2563,1,6,2,0,63,7,0,419,191,8,7,4,22,25,30,1,1529,70,9,7,66,0,3,250,1,31,7,35,17,68,9,33,45,140,3,2,0,14,24,1,20,13,7,37,35,1,191,0,9,7,15,16,12,20,15,9,6,3,17,50,4,39,16,43,10,15,2,13,27,20,2,12,0,26,22,4,43
9,46,0,2,17,3,49,57,125,2,8,49,28,3,1214,132,0,1,5,2,21,13,56,9268,28,2364,0,2,37,0,169,7,0,30,114,36,13,0,3,21,10,6,3673,127,3,4,117,3,0,606,4,71,23,100,0,61,0,131,73,860,0,3,543,17,64,1,10,49,3,64,43,4,158,5,123,18,36,14,0,29,123,15,4,1,24,616,2,17,24,41,7,5,28,8,16,32,8,7,1,92,38,16,103
33,73,0,7,10,9,29,17,26,3,29,34,10,5,362,126,0,4,3,2,16,19,31,13066,21,3317,1,3,0,4,144,4,0,18,164,8,38,4,1,18,1,4,4443,30,6,20,52,5,0,1565,26,48,5,82,6,52,0,37,50,437,3,0,211,22,856,0,8,8,4,217,137,6,35,0,8,11,13,18,2,16,16,20,3,1,120,158,1,15,38,22,1,124,3,7,27,28,2,19,2,48,22,11,95
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
32,21,0,10,9,9,25,25,79,22,26,45,8,3,253,145,9,1,22,3,80,7,49,4006,14,3028,1,3,9,1,128,15,2,16,88,17,17,7,11,21,12,8,4044,59,0,74,112,0,0,427,6,37,6,89,15,105,3,32,63,915,0,2,170,110,23,1,28,8,7,116,29,1,60,0,54,3,4,13,1,28,17,30,4,0,14,256,2,91,21,25,8,6,1,8,28,28,2,16,2,36,20,3,46
78,51,0,0,0,1,16,6,11,5,5,25,2,1,75,36,0,2,4,0,1,12,13,1813,12,1162,5,1,5,0,47,2,0,2,73,5,2,0,0,4,2,0,1007,30,2,2,29,0,0,144,7,18,1,14,6,31,0,6,13,76,4,1,74,10,1,2,3,21,8,5,35,0,24,0,16,3,5,19,0,5,7,3,0,1,9,66,3,2,9,1,1,4,0,4,7,8,1,3,0,11,11,0,8
13,7,0,3,3,0,6,0,19,3,5,6,2,5,37,21,0,2,4,0,18,3,44,1051,17,747,0,0,0,1,24,2,0,45,41,5,13,0,0,8,36,7,662,44,8,6,43,1,0,238,4,7,0,41,5,14,0,19,9,54,0,2,83,4,3,0,12,5,28,4,21,0,8,0,0,0,7,30,0,9,12,2,2,0,4,32,4,11,2,4,2,28,0,26,6,8,1,4,0,8,9,3,16
1,8,0,3,1,2,5,7,5,0,1,12,2,0,101,47,4,1,4,0,1,8,10,1602,19,988,0,0,0,0,67,4,0,2,14,16,7,4,2,1,0,6,738,10,0,3,35,1,0,118,1,3,3,9,0,12,0,7,2,43,0,0,41,13,2,0,11,4,2,10,8,6,12,2,6,0,6,6,0,1,1,9,1,1,10,32,0,3,7,9,0,5,0,0,5,2,0,5,0,34,5,5,6
50,55,0,22,16,25,38,27,259,16,69,115,32,12,371,196,2,10,15,43,45,33,64,7491,55,4351,18,73,5,0,145,33,0,43,352,35,27,9,15,51,60,6,3447,216,18,22,176,1,15,1028,19,35,11,111,20,131,0,93,68,504,10,6,292,26,38,1,24,69,37,78,913,8,108,0,36,20,22,48,18,43,23,34,25,82,53,255,16,50,30,43,4,20,8,39,57,40,23,103,3,77,31,29,311
1,0,0,0,0,0,0,6,1,0,2,2,0,0,17,2,0,0,2,0,3,0,2,228,0,208,0,0,0,0,1,0,0,0,1,7,0,0,1,0,1,1,103,0,2,0,11,0,0,30,4,0,0,3,0,1,0,0,1,34,0,0,4,6,4,0,0,0,0,21,3,7,2,1,0,0,0,0,1,0,0,0,0,0,0,20,0,2,5,6,0,1,1,0,4,9,0,0,0,0,0,0,0
19,24,0,7,8,8,45,7,380,31,22,117,17,2,301,169,1,5,11,27,15,26,45,4780,42,2495,5,1,1,0,108,9,0,7,439,31,13,4,8,28,8,0,2438,71,9,16,187,15,3,312,21,37,3,33,7,50,5,63,32,246,4,0,341,11,24,5,85,13,10,43,92,3,88,0,19,7,15,33,6,60,18,20,6,1,9,111,7,50,43,33,6,8,10,13,154,45,3,20,0,47,22,9,77
0,0,0,0,0,0,0,0,3,0,0,1,0,0,9,2,0,0,0,0,0,0,2,124,1,215,0,0,0,0,1,0,0,0,4,2,2,2,0,0,0,1,131,3,0,0,3,0,0,19,1,0,0,2,0,0,0,0,0,10,0,0,10,0,0,0,0,2,0,4,1,2,0,1,0,0,0,2,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,26,0,3,4,14,30,19,29,3,15,33,10,3,237,59,1,3,5,5,17,91,62,4337,16,2585,5,4,23,0,3583,12,0,6,285,16,13,5,8,13,6,3,3686,85,7,8,89,0,3,746,2,29,1,17,18,34,1,27,245,204,8,1,3960,21,17,1,7,15,4,42,59,1,79,0,7063,3,61,67,4,35,11,11,1,1,17,129,4,21,36,43,2,9,1,13,17,23,0,13,1,48,16,2,59
2,2,0,4,2,1,2,1,48,5,5,10,8,4,29,52,0,3,2,6,10,4,2,897,11,528,0,1,1,0,16,3,0,3,55,4,18,3,0,7,4,0,402,15,4,4,22,0,1,62,1,7,1,4,8,10,0,8,5,31,0,0,77,10,4,0,3,6,2,7,8,1,24,0,1,27,2,15,5,9,5,1,1,0,5,16,1,8,2,12,0,4,0,8,4,12,0,4,0,27,8,7,12
25,5,0,2,10,14,8,5,12,3,6,22,3,6,51,75,1,5,2,3,7,35,14,1949,22,1022,16,0,13,1,42,3,0,16,87,12,2,0,3,24,12,0,861,46,3,8,81,0,2,162,6,13,2,18,6,21,0,23,8,104,8,1,175,9,9,0,6,18,2,15,63,2,23,0,43,9,72,45,4,29,11,6,2,1,2,40,1,18,21,24,1,9,2,4,171,10,0,7,0,26,23,4,32
33,26,1,8,26,3,27,4,19,2,14,27,11,2,161,92,2,2,17,6,16,35,13,4281,23,2500,41,1,200,0,3090,5,0,6,350,7,34,3,0,37,21,3,1995,85,2,7,115,0,0,334,19,28,2,65,16,43,1,12,37,128,32,1,3227,6,10,2,12,14,2,42,61,0,48,0,29,3,26,47,7,16,10,9,3,0,21,57,4,19,19,17,5,12,1,12,23,32,1,14,0,35,12,4,34
25,9,0,15,18,3,47,10,81,6,20,40,43,13,135,138,0,1,5,7,31,9,96,3843,26,2957,0,7,2,1,3789,18,0,14,78,38,8,45,1,11,21,0,2050,78,10,9,76,0,0,302,5,41,6,93,15,229,6,49,21,199,2,6,4020,9,0,0,2,22,4,33,55,10,62,0,6,3,34,10,506,25,28,13,32,4,21,54,7,19,27,15,1,10,8,11,12,67,1,36,1,43,36,7,67
17,12,0,11,9,7,23,7,43,4,24,77,31,23,171,113,0,4,7,3,9,14,26,4199,59,2265,0,4,0,0,74,8,0,7,131,31,7,8,2,19,20,7,2206,66,3,4,152,0,1,340,16,45,5,51,3,42,1,23,72,192,1,2,217,19,12,4,20,10,5,26,71,1,92,0,35,2,5,20,15,1158,16,27,1,1,26,172,4,27,26,27,1,7,6,15,37,13,2,21,0,34,32,8,61
14,13,0,4,8,7,14,10,68,6,6,125,8,104,362,46,0,0,1,0,10,20,63,4096,54,837,0,0,2,0,17,8,0,3,47,26,17,4,1,29,20,1,993,153,3,2,21,0,0,176,7,9,33,13,15,31,0,38,10,157,1,0,50,100,10,1,21,3,8,33,50,4,427,1,17,7,11,22,6,40,1,8,2,1,6,157,1,40,7,33,1,9,2,5,19,14,1,15,0,35,21,2,25
24,85,0,11,32,47,35,16,88,4,34,75,17,3,256,164,2,9,17,12,27,13,84,4719,37,2644,2,18,4,2,147,17,0,15,199,23,38,4,48,41,9,0,2861,92,19,27,55,1,3,1330,5,15,7,38,7,92,18,38,61,280,4,1,446,22,23,0,43,11,14,97,69,0,97,1,68,8,19,23,11,38,21,1068,7,1,12,91,7,43,61,68,1,10,6,14,92,23,17,53,15,65,45,6,29
1,2,0,6,4,1,4,1,79,0,3,3,4,3,7,14,0,8,1,1,2,2,11,435,2,124,0,1,0,1,6,2,0,1,84,1,1,1,0,1,1,0,204,3,1,0,11,0,1,20,0,6,1,2,1,6,0,4,3,6,1,1,17,1,2,0,0,1,1,0,4,0,4,0,1,1,1,1,11,2,2,2,44,1,1,4,0,2,1,11,1,1,1,1,1,3,1,10,2,2,12,1,25
0,3,0,1,0,0,0,0,3,1,0,3,1,3,6,6,0,0,4,0,0,0,0,223,4,226,0,0,3,0,3514,2,0,0,11,0,0,1,0,3,0,0,185,4,0,0,0,0,0,19,3,3,0,3,0,1,0,0,0,9,0,0,3489,2,0,0,0,0,1,4,0,0,0,0,0,1,0,3,0,5,1,0,0,5,2,1,0,1,0,4,2,3,0,1,2,4,0,1,0,4,3,2,3
0,3,0,0,10,1,4,2,52,0,3,7,0,0,22,15,0,3,2,4,2,2,2,520,2,333,0,0,1,0,14,2,0,1,19,4,4,3,1,5,6,1,285,8,2,3,6,0,0,58,0,2,0,9,1,9,0,4,2,31,0,1,17,0,0,0,1,18,4,0,15,0,8,0,0,0,1,13,0,1,1,1,0,0,8,8,0,3,1,20,0,1,0,3,3,6,0,3,0,18,5,2,5
30,13,0,4,5,9,29,180,264,6,54,78,20,1,462,126,2,4,8,6,13,9,32,5330,108,2828,2,1,2,0,121,33,1,7,268,59,19,6,3,42,7,2,2341,120,2,4,266,10,0,450,13,24,14,47,12,50,0,59,29,343,0,3,280,88,31,2,18,29,7,144,68,23,61,36,39,2,65,7,3,33,46,23,3,1,11,180,6,46,18,22,4,1,38,26,32,40,8,12,0,46,21,18,67
8,6,0,7,3,6,7,4,122,0,13,28,3,2,81,33,0,2,2,5,10,16,18,1330,11,834,8,1,0,0,27,3,0,6,135,17,11,1,1,33,6,2,742,33,22,12,21,1,2,157,7,15,3,21,5,44,0,29,12,32,1,2,101,8,8,0,7,12,9,7,44,2,13,0,1,6,4,15,2,14,9,5,2,0,3,38,2,8,10,14,2,4,1,9,17,6,11,6,0,13,29,2,19
18,28,0,79,28,17,38,5,55,4,18,44,13,5,315,228,0,7,10,7,23,20,289,4048,34,3284,6,4,2,1,111,12,0,5,87,28,9,4,5,31,13,1,2697,47,11,9,43,2,5,260,9,22,3,26,11,60,0,31,31,150,3,5,166,18,21,0,37,9,8,243,52,2,100,0,29,10,17,12,4,21,8,16,4,3,14,87,4,17,94,37,3,18,5,7,32,13,1,75,3,53,23,6,65
6,9,0,12,5,7,3,10,8,2,5,30,19,3,62,44,1,1,4,3,9,4,7,1719,24,1027,0,3,0,0,58,5,0,4,38,8,7,3,3,6,4,6,1032,24,1,9,32,2,0,150,7,12,3,23,3,29,0,17,19,74,1,0,85,9,5,0,1,5,5,14,20,4,15,0,4,2,5,10,1,7,8,5,3,1,9,52,1,8,24,19,4,2,3,2,24,14,3,10,0,9,24,15,38
15,37,1,10,11,11,39,11,38,8,28,79,20,13,163,78,3,7,9,12,24,16,43,3527,38,2091,7,8,3,1,72,16,1,14,57,43,28,2,9,29,11,5,2191,89,14,14,61,4,4,329,21,18,13,428,11,67,2,33,107,272,7,4,223,25,13,2,12,17,7,44,43,7,113,4,25,11,12,18,2,26,9,37,14,6,29,83,8,23,33,27,3,14,13,9,50,34,5,24,3,33,39,7,77
0,0,0,2,0,0,0,2,2,0,1,1,1,0,1,2,0,0,0,0,0,1,2,52,0,42,0,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,42,0,3,0,2,0,1,4,1,0,1,0,0,5,0,1,0,4,0,0,5,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,4,0,1
10,45,0,8,17,5,16,2,63,31,17,38,10,18,78,88,1,5,7,7,36,6,34,1643,13,1498,2,8,1,0,56,12,0,9,83,10,11,2,1,17,23,3,1237,22,8,8,18,0,3,249,7,15,3,31,8,36,0,38,12,84,4,5,197,24,111,1,13,15,5,11,22,0,26,0,19,3,13,39,16,13,14,14,23,1,6,58,6,15,8,19,4,39,0,8,25,22,2,17,0,36,14,5,32
3,3,0,3,4,3,7,5,11,3,13,7,4,6,39,11,0,0,3,3,11,5,12,3642,4,325,0,3,0,0,24,3,0,7,22,216,3,3,0,3,2,3,390,11,3,5,26,0,3,68,1,26,3,8,3,9,2,7,32,40,3,2,28,4,3,0,4,3,3,14,9,3,6,0,7,3,3,3,3,4,3,6,3,0,7,19,3,3,8,3,3,4,0,3,16,9,3,7,0,4,4,3,12
8,76,0,2,8,4,13,12,111,1,9,67,17,3,158,59,2,0,10,2,4,4,50,2819,31,1689,1,1,1,0,53,7,0,3,86,5,16,7,1,19,14,1,1618,114,2,5,55,0,0,1278,14,163,0,56,14,25,1,142,42,132,1,0,166,26,7,3,10,5,66,25,47,1,66,0,37,0,3,12,2,33,13,8,0,2,9,100,1,15,14,4,5,1,1,62,7,11,5,17,0,34,28,0,22
8,7,0,5,7,1,7,14,8,0,2,20,9,1,44,75,0,0,3,2,5,3,8,1008,2,833,3,1,2,0,3926,1,0,0,49,6,6,1,0,8,4,0,575,36,3,1,12,2,0,117,12,10,8,21,4,34,0,9,16,44,1,4,3971,6,2,0,7,6,4,23,28,1,14,1,9,0,0,4,0,8,0,0,0,0,4,12,1,2,9,8,1,5,0,5,24,5,2,4,0,16,15,0,12
10,14,0,5,2,9,27,15,380,1,20,30,7,3,83,64,2,0,2,3,26,9,94,2443,16,1888,1,0,1,0,35,8,0,7,427,18,6,2,5,10,4,0,1263,35,5,6,43,0,0,292,97,9,3,29,5,131,0,31,18,119,0,4,250,9,3,1,13,14,5,22,23,0,78,0,3,3,13,9,41,48,1,3,18,2,6,44,4,22,7,9,1,33,0,7,13,977,4,7,0,36,15,2,40
5,12,0,0,5,6,8,6,29,1,4,25,1,1,42,1609,0,1,1,4,1,9,5,2465,2,975,6,4,0,0,44,0,0,1,63,3,2,0,3,3,2,0,1438,21,3,1,36,0,0,122,1,12,1,91,1,39,8,7,9,136,0,0,55,11,8,2,3,3,2,11,30,0,12,0,1,2,2,11,6,5,1,12,2,0,4,95,4,2,4,4,0,9,17,6,11,2,367,4,5,7,4,4,63
12,12,0,5,4,1,42,15,25,1,11,179,8,5,123,71,1,1,2,4,15,5,7,3954,22,1277,1,2,0,0,60,4,0,0,80,9,5,7,1,6,3,0,1400,37,7,9,40,0,1,249,3,21,6,34,11,25,0,10,24,102,2,3,190,6,17,0,11,5,4,20,44,0,22,0,0,4,5,11,2,12,17,10,3,0,7,45,1,7,14,13,1,8,5,5,47,13,1,19,1,30,14,10,32
1,10,0,1,0,1,0,0,0,0,0,3,3,1,4,10,0,0,0,0,2,0,0,203,0,131,0,1,0,0,12,0,0,1,1,1,1,1,0,3,3,0,104,1,0,0,3,0,0,17,0,1,0,0,0,1,1,0,1,3,0,0,28,0,0,0,8,3,0,2,38,0,1,0,0,0,0,0,0,0,0,9,0,0,1,0,0,1,0,2,0,0,0,1,3,3,3,1,0,1,2,0,0
12,18,0,11,9,3,12,14,31,7,10,61,7,3,122,53,1,16,4,10,12,9,46,2023,55,1326,5,7,5,2,45,11,0,8,106,12,11,2,1,23,15,11,1038,53,7,17,111,0,4,252,2,38,6,20,6,32,0,36,28,120,0,0,64,16,8,3,17,12,2,48,42,5,88,0,4,15,14,15,3,30,3,12,5,5,15,70,8,15,16,16,4,10,6,7,24,14,0,13,0,28,15,9,20
55,46,0,48,28,19,70,20,102,25,65,58,36,19,253,251,4,8,13,13,62,27,89,3150,44,2836,5,7,8,1,1696,16,1,21,140,17,24,13,10,74,8,5,2578,83,15,17,44,3,5,353,15,55,15,47,37,109,5,69,56,306,14,10,2017,22,16,4,24,8,11,27,91,11,91,4,52,27,26,30,14,55,11,44,8,3,17,90,5,38,36,32,5,23,12,28,25,30,4,44,3,122,35,12,73
5,2,0,2,2,3,4,1,19,1,3,3,2,0,25,15,2,0,1,3,5,2,8,412,4,381,0,0,2,0,17,4,0,2,69,6,0,2,0,4,1,0,279,13,1,1,13,0,1,30,1,7,0,4,1,3,2,2,5,13,0,0,79,3,7,0,2,0,4,7,9,0,12,0,2,1,2,14,0,1,2,6,2,0,3,20,0,0,6,6,1,3,1,1,4,7,0,2,1,7,2,3,17
46,31,0,6,9,13,39,6,276,1,29,92,24,4,454,115,2,4,7,4,12,26,92,4946,55,2649,3,3,16,0,108,13,0,34,323,30,22,5,3,53,19,2,2820,197,4,6,120,7,3,502,9,45,20,49,4,81,0,71,41,386,2,0,344,39,22,0,31,15,9,64,98,1,183,1,53,8,24,27,19,49,29,10,14,1,22,242,3,38,31,58,1,17,4,24,27,16,7,18,2,67,14,8,773
