.abdn.,.aber.,.abertay-dundee.,.anglia.,.aston.,.bangor.,.bath.,.bbk.,.bham.,.bournemouth.,.brad.,.bris.,.brunel.,.bton.,.cam.,.cf.,.courtauld.,.coventry.,.cranfield.,.derby.,.dmu.,.dundee.,.dur.,.ed.,.essex.,.ex.,.gcal.,.glam.,.glasgow.,.goldsmiths.,.gre.,.herts.,.heythrop.,.hud.,.hw.,.kcl.,.keele.,.kingston.,.lamp.,.lancs.,.lboro.,.lbs.,.le.,.leeds.,.livjm.,.lmu.,.lse.,.lshtm.,.luton.,.man.,.mbs.,.mcc.,.mdx.,.mmu.,.napier.,.ncl.,.newport.,.nott.,.ntu.,.ox.,.paisley.,.plymouth.,.port.,.qmw.,.qub.,.rcm.,.rdg.,.rgu.,.salford.,.sas.,.shef.,.soas.,.soton.,.ssees.,.st-and.,.staffs.,.stir.,.strath.,.sunderland.,.surrey.,.susx.,.swan.,.tees.,.tvu.,.uce.,.ucl.,.uclan.,.uea.,.uel.,.ukc.,.ulh.,.ulst.,.umds.,.umist.,.unl.,.unn.,.uwcm.,.uwe.,.uwic.,.warwick.,.wlv.,.wmin.,.york.
13,20,0,14,8,2,20,4,29,9,18,34,10,5,110,59,1,4,12,4,24,8,18,2321,14,1262,11,7,1,4,80,13,0,9,59,27,14,11,3,34,22,17,1204,61,5,3,76,2,2,221,4,10,11,17,14,25,2,30,23,101,2,6,169,22,5,0,17,9,15,16,36,1,61,0,7,4,8,23,9,40,13,6,10,1,11,110,6,18,16,22,0,11,4,10,18,9,0,22,1,40,23,12,45
11,21,0,1,2,0,2,12,23,7,16,8,7,4,124,88,0,6,25,8,16,4,9,5134,16,2360,1,0,0,0,76,5,0,4,212,21,0,6,1,18,8,5,3262,53,26,9,39,0,1,745,8,18,2,36,16,28,2,35,31,162,1,1,1400,5,4,1,2,9,13,56,15,0,12,6,21,1,2,8,13,11,51,2,28,0,547,50,1,13,30,9,0,3,0,1,23,15,0,17,0,25,12,3,20
51,44,2,165,29,36,61,48,122,13,26,153,25,10,1399,359,1,17,14,16,34,62,133,10101,54,4369,6,8,1,0,366,31,0,13,237,73,38,11,8,46,22,6,4829,158,19,17,375,2,15,759,34,27,18,76,11,122,1,90,82,716,4,4,590,58,63,14,59,26,13,133,151,15,687,1,199,17,25,28,15,38,23,44,15,4,26,334,12,72,50,45,4,15,22,27,64,60,28,24,2,149,50,17,144
42,34,0,14,17,16,46,8,86,8,23,76,17,9,217,115,0,6,2,1,25,30,31,4873,40,2925,5,47,2,0,81,26,0,7,192,18,9,6,7,23,15,2,2353,88,20,13,89,3,4,443,2,33,4,46,26,55,8,58,31,162,0,2,245,16,36,2,23,29,10,45,65,0,113,0,27,12,11,52,10,36,7,47,1,1,21,130,8,29,25,38,2,15,5,12,24,23,78,25,12,42,14,16,78
0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,26,0,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13,0,3,5,4,8,0,54,5,3,7,8,4,1102,34,0,154,2,8,14,5,6,853,13,837,6,2,0,1,13,0,0,4,61,2,10,2,1,7,4,1,571,14,3,4,9,1,2,74,2,3,2,15,3,30,1,2,8,49,1,1,54,4,3,1,7,9,1,21,30,3,12,0,5,3,4,16,3,9,0,7,9,1,23,22,2,15,9,12,1,7,0,4,10,21,1,13,1,48,64,3,13
7,11,0,9,6,3,32,2,15,3,8,20,6,1,116,139,0,6,13,2,21,5,6,2070,13,1895,0,4,0,0,66,2,0,2,62,6,5,4,2,17,5,12,1107,52,2,3,27,0,12,201,8,27,3,18,4,11,2,17,11,89,1,0,261,1,4,0,8,8,8,38,14,0,20,0,2,0,5,14,1,14,2,6,1,0,7,36,4,7,8,4,0,8,1,4,13,25,0,7,1,24,5,4,24
3,4,0,3,6,3,6,5,15,1,9,14,0,1,19,32,1,2,1,45,14,2,1,1016,7,643,1,1,0,2,27,7,0,3,57,4,18,0,0,7,8,0,678,27,5,1,28,0,2,62,0,8,1,30,0,38,0,14,20,58,0,0,51,3,3,0,5,12,0,5,36,0,20,2,4,4,4,9,1,10,2,0,4,3,4,27,4,5,11,10,0,6,0,5,7,8,8,12,0,12,6,2,20
5,11,0,2,8,1,32,0,32,6,8,15,26,3,163,121,0,1,5,8,35,2,21,3768,15,2863,0,5,1,2,960,21,0,8,74,17,3,1,1,15,25,0,2254,107,16,5,80,0,1,357,8,36,8,49,24,26,1,70,24,240,1,0,1146,19,5,2,10,5,5,30,42,1,54,0,32,16,12,27,11,9,8,1,0,3,13,73,3,9,16,12,13,4,2,8,19,29,6,20,1,28,28,7,53
31,20,1,0,6,3,13,3,26,2,7,22,2,3,85,37,0,0,2,1,11,107,10,1670,17,983,16,4,6,0,62,3,0,3,95,13,4,1,1,10,8,1,1967,33,0,3,68,0,1,176,3,10,1,13,6,45,0,14,9,86,3,0,1211,11,6,0,15,10,12,24,60,5,35,1,48,3,18,36,1,14,6,4,2,0,7,71,8,7,4,13,0,6,3,11,21,6,5,9,2,21,17,2,21
23,31,0,14,5,7,20,8,55,5,22,66,11,8,363,154,0,11,2,6,20,18,672,7264,20,2625,3,2,1,0,104,7,0,16,337,19,21,4,11,50,18,3,2613,143,17,21,186,0,1,485,9,46,2,33,1,175,2,79,56,302,1,3,284,21,27,2,20,15,10,52,63,3,4696,1,41,10,9,20,44,25,23,14,30,1,7,139,3,33,23,45,0,5,1,24,49,47,3,9,0,94,19,4,126
39,14,1,5,29,9,17,7,43,0,10,37,5,4,255,96,2,3,1,4,7,39,51,4126,92,1948,7,2,5,0,81,3,0,6,266,14,8,21,0,45,3,1,1822,88,4,7,256,1,0,343,16,108,2,31,34,37,0,20,13,170,10,0,219,24,15,1,16,9,6,22,105,5,141,1,46,3,37,50,10,23,25,9,3,0,11,142,2,6,14,19,3,8,11,12,17,18,5,22,0,21,17,5,41
13,16,1,12,6,8,21,10,49,2,9,44,11,6,162,79,0,7,0,4,12,8,27,2533,38,1882,2,4,3,3,92,5,0,9,56,21,15,1,6,85,17,7,1348,59,5,8,90,0,3,265,11,26,4,28,10,35,0,19,23,168,1,4,112,15,11,0,15,4,9,34,43,5,67,4,4,5,5,18,6,40,10,12,11,0,11,150,5,28,11,32,2,17,2,13,21,17,2,19,0,33,20,3,42
30,37,0,4,18,17,79,10,54,12,53,219,26,5,285,204,2,5,16,11,16,15,61,5974,48,9555,5,3,1,1,150,17,1,17,177,27,25,6,10,38,12,9,3860,78,9,9,114,2,8,518,13,31,6,47,9,58,2,33,74,255,3,9,331,24,28,7,90,27,12,102,117,7,71,24,43,5,13,19,6,39,40,26,253,4,12,129,4,33,147,95,15,10,0,13,145,17,5,27,3,61,34,14,82
17,20,2,1,6,10,10,1,27,5,8,24,4,5,30,24,0,2,3,3,8,26,14,1508,26,920,8,3,76,0,15,18,0,4,118,0,7,0,0,5,4,2,1264,65,13,4,26,0,2,122,1,14,0,47,9,27,0,14,9,69,13,0,81,1,6,0,3,9,6,8,29,1,28,0,12,5,28,69,3,12,11,10,0,0,7,17,1,9,3,9,1,6,1,4,6,6,3,13,1,15,21,8,16
0,13,0,2,7,4,6,2,20,2,10,13,6,0,34,72,0,1,4,0,4,2,9,1028,8,734,0,7,0,0,29,7,0,2,37,2,0,2,6,8,6,1,968,17,3,2,15,0,0,131,7,9,2,15,2,30,5,8,11,71,1,2,92,5,0,0,3,11,0,6,22,0,16,0,0,2,3,8,0,3,3,23,1,1,7,14,1,5,5,8,1,10,0,3,9,8,3,7,5,15,14,2,10
75,8,2,1,1,1,8,3,22,0,1,33,4,1,76,59,0,0,1,1,1,27,10,1629,10,2325,10,0,78,0,51,1,0,2,39,9,3,0,2,5,2,0,8631,39,2,0,49,3,0,191,5,19,1,27,6,32,0,8,5,84,20,0,419,5,16,2,5,43,2,23,72,0,14,0,25,3,31,88,2,3,3,12,8,1,4,25,2,5,6,9,0,9,2,0,9,8,3,1,1,8,4,2,17
1,3,0,1,1,1,2,4,1,1,2,1,3,1,5,3,0,0,1,0,2,1,1,115,3,95,0,1,0,0,5,2,1,1,4,3,1,0,2,1,0,1,89,4,0,2,5,0,0,14,1,1,3,1,0,0,0,1,1,10,0,0,18,1,0,0,0,1,0,8,2,1,24,1,1,1,1,1,0,2,1,2,0,0,0,8,0,2,0,2,0,0,0,0,1,1,0,0,0,2,2,1,2
